open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1586440800000,7327.66000000,7332.09000000,7320.46000000,7326.46000000,41.57068000,1586440859999,304541.69328090,549,16.60784000,121662.59713649,0
1586440860000,7326.45000000,7329.94000000,7322.36000000,7324.68000000,49.84509400,1586440919999,365119.51932715,445,28.31219100,207381.38742926,0
1586440920000,7324.57000000,7335.00000000,7320.21000000,7332.71000000,33.27142900,1586440979999,243759.09932989,528,19.77613500,144908.02558431,0
1586440980000,7331.70000000,7337.17000000,7329.21000000,7337.17000000,35.50783400,1586441039999,260370.35949102,436,24.15418500,177124.46115294,0
1586441040000,7336.00000000,7350.00000000,7310.19000000,7311.70000000,287.87337600,1586441099999,2112643.07304347,2378,204.01208200,1497726.03115381,0
1586441100000,7311.70000000,7316.39000000,7294.79000000,7302.92000000,189.73171600,1586441159999,1385739.22937628,1752,56.91083700,415817.28099049,0
1586441160000,7301.56000000,7309.89000000,7297.75000000,7302.95000000,132.13378900,1586441219999,964991.28142782,684,59.05661300,431394.49909629,0
1586441220000,7301.60000000,7302.41000000,7288.48000000,7295.57000000,130.36228600,1586441279999,951107.20366870,1089,64.32219800,469337.50667543,0
1586441280000,7295.57000000,7306.21000000,7294.88000000,7299.13000000,70.93893700,1586441339999,517915.62487630,547,39.70138500,289822.17911279,0
1586441340000,7299.31000000,7312.00000000,7297.00000000,7304.10000000,84.89118900,1586441399999,620114.85560162,822,51.72136000,377839.39100538,0
1586441400000,7304.10000000,7308.99000000,7301.22000000,7305.06000000,29.08519700,1586441459999,212471.90205685,380,16.71054500,122074.97754473,0
1586441460000,7306.49000000,7307.03000000,7300.00000000,7302.80000000,21.53709500,1586441519999,157270.15748659,290,5.32483700,38887.02801945,0
1586441520000,7303.10000000,7314.36000000,7301.01000000,7312.62000000,38.67864000,1586441579999,282640.67808801,511,27.53780000,201245.10459028,0
1586441580000,7312.49000000,7314.24000000,7305.00000000,7309.81000000,31.85017000,1586441639999,232772.12039076,444,14.26004200,104230.51584805,0
1586441640000,7309.81000000,7314.91000000,7309.69000000,7312.64000000,22.33777000,1586441699999,163330.12949227,358,14.00792500,102425.66775436,0
1586441700000,7312.60000000,7314.90000000,7297.09000000,7300.73000000,50.96717800,1586441759999,372255.52437445,523,12.39634700,90527.67285578,0
1586441760000,7301.96000000,7301.96000000,7296.00000000,7296.01000000,18.82797100,1586441819999,137425.07591024,315,10.61499800,77477.79941081,0
1586441820000,7296.00000000,7296.93000000,7287.63000000,7289.51000000,43.66573700,1586441879999,318389.29395892,697,18.43703700,134431.09370273,0
1586441880000,7289.81000000,7299.81000000,7289.52000000,7298.58000000,46.52026100,1586441939999,339406.39462056,658,24.00928700,175170.60972060,0
1586441940000,7298.61000000,7298.92000000,7292.01000000,7293.80000000,51.18246300,1586441999999,373417.06944167,565,38.40985900,280234.96069853,0
1586442000000,7293.83000000,7299.97000000,7292.02000000,7294.60000000,52.02241100,1586442059999,379530.41047859,661,35.20082900,256826.49908522,0
1586442060000,7294.60000000,7298.41000000,7289.51000000,7294.01000000,68.39661000,1586442119999,498880.65845424,828,35.23773600,257061.93001727,0
1586442120000,7294.27000000,7299.86000000,7291.49000000,7297.07000000,41.43040200,1586442179999,302256.01166561,723,17.36166600,126666.47979213,0
1586442180000,7295.96000000,7297.25000000,7292.86000000,7294.94000000,25.04741800,1586442239999,182708.04499496,514,15.20097200,110886.39119523,0
1586442240000,7295.01000000,7306.30000000,7292.99000000,7302.49000000,52.06803200,1586442299999,380157.02576647,740,28.58660100,208696.13477153,0
1586442300000,7302.37000000,7310.00000000,7301.04000000,7302.22000000,40.84396600,1586442359999,298366.09146776,398,29.42856000,214996.93567197,0
1586442360000,7302.46000000,7308.59000000,7302.46000000,7307.31000000,26.96648300,1586442419999,197020.69077327,400,10.71954400,78316.93338740,0
1586442420000,7307.65000000,7324.17000000,7307.65000000,7317.49000000,55.02794600,1586442479999,402551.88501471,666,39.83139800,291384.64803795,0
1586442480000,7317.49000000,7321.28000000,7313.00000000,7321.28000000,56.57071200,1586442539999,413883.56077097,568,18.92154700,138435.50588480,0
1586442540000,7321.36000000,7321.37000000,7310.37000000,7314.42000000,28.80354100,1586442599999,210693.28958494,448,16.02857500,117233.29258660,0
1586442600000,7314.66000000,7317.91000000,7308.14000000,7310.21000000,120.00783200,1586442659999,877478.18935073,525,18.13749200,132617.55907156,0
1586442660000,7310.53000000,7310.53000000,7303.15000000,7307.35000000,29.05421900,1586442719999,212284.51396545,466,11.80823100,86282.31911080,0
1586442720000,7306.55000000,7314.90000000,7306.31000000,7311.24000000,22.56024700,1586442779999,164911.70473465,555,13.49949200,98682.60114887,0
1586442780000,7311.25000000,7326.66000000,7304.38000000,7323.55000000,83.08573500,1586442839999,607917.36281137,830,54.11830600,396060.90164674,0
1586442840000,7323.53000000,7336.00000000,7320.81000000,7334.94000000,164.64734400,1586442899999,1206801.59973898,1209,105.48714500,773228.44910498,0
1586442900000,7334.50000000,7339.00000000,7327.00000000,7333.76000000,100.87864000,1586442959999,739719.00787243,885,42.50057400,311688.29146292,0
1586442960000,7333.94000000,7338.00000000,7332.57000000,7333.75000000,49.85259500,1586443019999,365673.38820877,540,22.66155300,166220.05487491,0
1586443020000,7333.37000000,7336.10000000,7330.00000000,7334.97000000,38.11290100,1586443079999,279525.24479081,429,20.14878700,147779.70135631,0
1586443080000,7335.00000000,7335.00000000,7330.09000000,7333.75000000,70.44190100,1586443139999,516587.49339836,524,25.88172200,189803.94490523,0
1586443140000,7333.75000000,7342.71000000,7333.71000000,7337.81000000,97.38904900,1586443199999,714619.42845324,730,76.25821700,559579.44563910,0
1586443200000,7338.26000000,7340.82000000,7328.71000000,7331.39000000,125.12144500,1586443259999,917974.83740717,852,15.20407200,111517.80702082,0
1586443260000,7331.39000000,7332.82000000,7323.08000000,7325.46000000,39.54368900,1586443319999,289756.93436472,589,17.97101500,131691.49657173,0
1586443320000,7325.53000000,7331.47000000,7323.92000000,7325.21000000,28.84971900,1586443379999,211413.16539393,426,9.19581900,67392.30535708,0
1586443380000,7326.17000000,7331.67000000,7324.03000000,7327.56000000,23.25057500,1586443439999,170360.93654002,428,12.22114700,89546.79410435,0
1586443440000,7328.00000000,7336.65000000,7327.88000000,7332.70000000,57.16709400,1586443499999,419181.98698351,445,19.23091800,140981.89952106,0
1586443500000,7331.62000000,7334.24000000,7326.29000000,7328.18000000,34.72677600,1586443559999,254584.03655176,407,7.38698400,54150.51080108,0
1586443560000,7328.02000000,7332.72000000,7325.68000000,7327.76000000,20.31368400,1586443619999,148880.85566464,386,6.21406100,45544.31552880,0
1586443620000,7327.62000000,7328.76000000,7321.32000000,7322.48000000,26.77178800,1586443679999,196090.07445189,521,8.29687800,60768.27846636,0
1586443680000,7322.35000000,7324.34000000,7319.00000000,7321.00000000,45.12564200,1586443739999,330386.82607208,612,26.60247800,194771.32446019,0
1586443740000,7321.11000000,7322.38000000,7309.09000000,7313.52000000,41.81519400,1586443799999,305823.49457599,661,11.48144200,83951.76808019,0
1586443800000,7313.57000000,7317.39000000,7310.87000000,7311.60000000,18.75274300,1586443859999,137170.80075395,378,7.22830000,52875.55066934,0
1586443860000,7311.67000000,7313.70000000,7305.10000000,7308.96000000,38.73140700,1586443919999,283113.48126743,510,13.52780700,98887.85628911,0
1586443920000,7308.96000000,7313.56000000,7308.00000000,7308.39000000,41.40816000,1586443979999,302714.19729260,496,6.67123900,48774.23799602,0
1586443980000,7308.01000000,7315.92000000,7308.01000000,7313.44000000,23.36122000,1586444039999,170839.57293968,412,11.89998200,87026.96951494,0
1586444040000,7313.08000000,7313.45000000,7303.00000000,7305.45000000,41.20312900,1586444099999,301058.30473394,662,16.97804200,124057.78570414,0
1586444100000,7306.66000000,7312.42000000,7303.02000000,7308.00000000,37.60846100,1586444159999,274822.30193467,512,16.09936000,117647.12925653,0
1586444160000,7308.00000000,7310.42000000,7305.00000000,7310.40000000,15.19447300,1586444219999,111026.46411503,289,5.37797000,39296.34692571,0
1586444220000,7310.40000000,7315.34000000,7307.37000000,7314.56000000,22.17515900,1586444279999,162142.79325184,414,11.01091600,80516.04926726,0
1586444280000,7315.00000000,7318.94000000,7313.59000000,7317.00000000,18.69178700,1586444339999,136762.91995021,403,13.17174600,96374.94369375,0
1586444340000,7317.09000000,7324.33000000,7313.83000000,7322.88000000,23.98704000,1586444399999,175571.57981681,470,12.98275000,95024.88694602,0
1586444400000,7322.98000000,7325.00000000,7310.00000000,7310.77000000,54.29330600,1586444459999,397326.29131304,517,19.20394300,140553.96081544,0
1586444460000,7310.49000000,7316.48000000,7309.01000000,7311.30000000,63.76912100,1586444519999,466242.64718826,417,54.69296000,399885.95892890,0
1586444520000,7310.48000000,7312.95000000,7305.30000000,7307.11000000,32.39727100,1586444579999,236754.12136553,369,11.41218800,83392.82522682,0
1586444580000,7307.12000000,7312.72000000,7303.04000000,7303.05000000,34.25491100,1586444639999,250305.04698800,339,11.37531500,83124.83649755,0
1586444640000,7303.04000000,7309.88000000,7303.01000000,7308.68000000,41.89849600,1586444699999,306099.56461084,492,27.59359900,201588.73838850,0
1586444700000,7308.92000000,7309.13000000,7302.41000000,7303.46000000,25.84865300,1586444759999,188786.03725592,319,6.78591800,49564.05950359,0
1586444760000,7303.26000000,7303.26000000,7294.00000000,7300.26000000,112.96523000,1586444819999,824544.57250814,922,39.05981600,285061.30204500,0
1586444820000,7300.26000000,7304.22000000,7296.99000000,7300.52000000,32.21819500,1586444879999,235213.65547617,346,13.34361200,97423.39814621,0
1586444880000,7300.45000000,7306.36000000,7300.01000000,7305.77000000,18.34815000,1586444939999,134006.72058333,353,6.29439900,45973.13259536,0
1586444940000,7305.76000000,7305.77000000,7299.00000000,7302.16000000,25.91864500,1586444999999,189266.82540514,336,9.67289900,70641.00231227,0
1586445000000,7301.30000000,7303.06000000,7297.28000000,7303.00000000,25.63606200,1586445059999,187159.06650769,264,5.81512600,42460.05245706,0
1586445060000,7303.00000000,7304.71000000,7296.08000000,7297.68000000,52.13109600,1586445119999,380594.36907307,375,13.80475000,100778.22943391,0
1586445120000,7297.72000000,7306.64000000,7296.38000000,7305.63000000,26.73553400,1586445179999,195177.37569633,459,18.91170400,138068.44021588,0
